Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
Incara Pharmaceuticals Corporation,Aeolus Pharamaceuticals Inc; Renaissance Cell Technologies Inc; Incara Inc; Incara Cell Technologies Inc; sold to Vesta Therapeutics,,C Corporation,5/1/1996,Lola Reid,Jeffrey Macdonald,Lola Reid,,79 TW Alexander Dr,Research Triangle Pk,North Carolina,27709,Durham,,(919) 485-8034,Renaissance Cell Technologies was developing a liver progenitor cell therapy for treatment of liver failure. The company name was changed to Incara Pharmaceuticals and was later sold to Vesta Therapeutics.,,,Acquisition,11/1/2002,,
Inclusive Intakes Inc.,Visual Evaluations Inc,InclusiveIntakes.com,C Corporation,12/7/2020,Bryan Krehnbrink,,,,158 quarter gate trce,CHAPEL HILL,North Carolina,27516,Orange,support@visualevaluations.com,(984) 223-1868,"Software as a Service. As we transitioned to telehealth, I found myself, as a provider, clicking into new patient visits and finding my patient sitting in their hot car, on break from work, on a poor data connection, and I had absolutely no history on them. It would be an awkward game of 50 questions with them only hearing 30, just to get a partial history. I was frustrated, there had to be a way to get information from the patient to me before the visit. I'm the kind who would daydream about cloning myself into their phone to ask questions before the visit. I dreamed of a report it would generate to get me off with a good start with charting. No more charting when I got home at night! Relating to the patient- I love being a mental health provider, but I woke one day to find that I was no longer the wise middle-aged white 'expert' patients wanted. I'd see a patient of diversity who I knew asked for a provider of diversity, and they got me. I'd see a teen of color in the adolescent unit and they would barely look me in the eye. I'd see a non-binary teen and while I think I relate well - I use the right pronouns and understand the right and wrong things to ask. But I don't have any color tint in my hair that shows authenticity. I kept wishing I was someone else. Someone who could get me the information I needed to put together a great mental health plan. Solution- I worked out a way to clone myself into their phone with a pretty amazing web app and I worked the technology to get it to generate that report I wanted in the chart, then I went and multiplied my clones and changed them into guides of all colors and diversities...... and Inclusive Intakes was born!","Incorporated in DE, File Number: 4360920, Tiffany, 2-23-23","DE incorporation and website active (Patrick, 2/28/23) Incorporated in DE, website active (Juliana, 6/9/23) DE registration and website active (John 4/22/24).",,,,
IndyCare LLC,IndyCare Hillsborough,https://www.indycarehealth.com/,LLC - Limited Liability,6/14/2017,Gregory Vassie,Franklin Roye,,,"110 Boone Sq. St., #29A",Hillsborough,North Carolina,27278,Orange,info@indycarehealth.com,(919) 245-1213,"IndyCare is an innovative retail health clinic franchise, embedded within an independent community pharmacy setting.","Mailing Address: 9555 US 15-501 N Chapel Hill, NC 27517","Annual report 3/15/19 - JL 6/12/19. Annual report 1/13/20 (JL 6/22/20). The website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-11-22, 7-2-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 1/17/2023, website active (Juliana, 5/24/23) NC SoS status ""Current- Active"", AR filed 1/24/24, website active 4/22/24- John.",,,,
Infodyn LLC,Infodyn Consulting,www.infodynconsulting.com,LLC - Limited Liability,10/27/2014,Grayson Dorsett,,,,173 1/2 E Franklin,Chapel Hill,North Carolina,27514,Orange,,(425) 223-1959,"Infodyn Consulting, headquartered in Chapel Hill, NC, is an end-to-end HR solutions company with a focus on executive search, recruitment, learning and temporary staffing services to client organizations.","incorporated NC; dissolved NC (Cindy, 10/28/2016)",,"Liquidation, close down",1/14/2016,,
In-Form Athletics LLC,,http://www.informathletics.com/,LLC - Limited Liability,2/16/2016,Robert Douglas,Luke Lechner,,,103 West Longview St,Chapel Hill,North Carolina,27516,Orange,info@informathletics.com,(855) 438-1793,Inform Athletics is a web-based application that serves as a universal questionnaire for high school athletes looking to continue into NCAA programs. This avenue will provide a resource for athletes to apply to any NCAA institution for any NCAA sport they wish to pursue.,"incorporated NC; annual report NC 2/3/2017 Carolina Challenge team members: Luke Lechner, Patrick Riess, Henry Campbell, Gray Dorsett, Jonathan Ng, Ashish Khanchandani","Dissolved in 10/11/19, but website still works JL (6/22/20).","Liquidation, close down",10/11/2019,,
In Gear Career Inc,Modern Military Spouse Inc,http://ingearcareer.org,501c,5/11/2010,Haley Uthlaut,,,,3853 Northdale Blvd Ste 368,Tampa,Florida,33624,,ingearcareer@ingearcareer.org,,"""We provide a free forum for professional development, community support, information sharing, and networking to address the unique challenges faced by career-minded Military Spouses."" (website, 1/11/2016)",Incorporated FL; incorporated/amended under current name as 501(c)(3) 1/23/2012,,Acquisition,1/20/2016,,
Inhalon Biopharma Inc,,https://www.inhalon.com/,C Corporation,9/19/2018,Samuel Lai,,Samuel Lai,,5151 McCrimmon Parkway Ste 220,Morrisville,North Carolina,27560,Wake,info@inhalon.com,919-438-1228,"""Inhalon Biopharma, Inc (?Inhalon?) is dedicated to developing and commercializing treatments for respiratory infections, with the lead product targeting respiratory syncytial virus (RSV)."" (company, 12/7/2018)","CEO is based in California (Champ, 11/13/2019) Office: 5151 McCrimmon Parkway Ste 220 Morrisville, NC 27560","Annual report filed 4/14/9. JL 6/12/19. Annual report 4/5/20 (JL 6/22/20).AR 4/5/21 JL. The website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-10-22, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 4/4/2023, website active (Juliana, 6/9/23) NC SoS status ""Current- Active"", AR filed 4/4/24, website active 4/22/24- John. Address and phone updated.",,,,
InHerSight,,https://www.inhersight.com/,C Corporation,1/8/2014,Ursula Mead,,,,PMB 312 201 W Main Street Suite 300,Durham,North Carolina,27701,Durham,hello@inhersight.com,,"""At InHerSight, we give women the data and insight they're looking for to make better career choices. Our platform is powered by anonymous company reviews tailored specifically to women and their diverse goals, needs, and definitions of success. Women have rated the female-friendliness of nearly 100,000 companies in the US -- see scores at inhersight.com."" (Founder's LinkedIn Profile, 4/1/2019)",,,,,,
Initos Pharmaceuticals LLC,,https://initospharm.com/,LLC - Limited Liability,10/10/2014,Rudolph Juliano,William Janzen,Rudolph Juliano,,1800 North Greene Street Ste E,Greenville,North Carolina,27834,Pitt,,(252) 551-1088,Initos Pharmaceuticals has identified small molecules that enhance the pharmacological effects of oligonucleotide-based therapeutics.,"UNC Assisted as there is not yet a license with UNC (Cindy, 8/12/2015) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Annual report 4/8/19. JL 6/12/19. Annual report 4/8/20. JL (6/22/20). AR 3/9/21 JL. The website is active, NC Sec State website status is ""Current - Active"", NC AR - 4-8-22, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 3/29/2023, website active (Juliana, 6/9/23) NC SoS status ""dissolved"", destruction filed 10/3/23, website inactive 4/22/24- John. Could not find info on whether company is still active, insufficient evidence on founder's linkedin.",,,,
Innatrix Inc,,https://innatrix.com/,C Corporation,1/15/2013,Marshall Edgell,,,,800 Park Offices Dr,Durham,North Carolina,27709,Durham,jiarui.li@innatrix.com,(919) 228-8298,"Innatrix Inc. is a small biological product manufacturer in Chapel Hill, NC.","no UNC License yet, will be UNC Technology startup when license executed (Cindy, 12/22/2015) incorporated NC 1/15/2013 address updated per SBIR.gov, to Hillsborough (Cindy, 5/2/2017) Mailing Address: 4032 Overcup Oak Lane Cary, NC 27519","Annual report 3/19/18. Jen Lai 6/12/19. Annual Report 1/14/21- JL The website is active, NC Sec State website status is ""Current - Active"", NC AR - 10-8-21, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 3/6/2023, website active (Juliana, 6/9/23) NC SoS status ""Current- Active"", AR filed 4/1/24, website active 4/22/24- John. Address updated.",,,,
InnerOptic Technology Inc,,http://www.inneroptic.com/,C Corporation,4/25/2002,Brian Heaney,Sharif Razzaque,Henry Fuchs,,106A N Churton St,Hillsborough,North Carolina,27278,Orange,info@inneroptic.com,(919) 732-2090,InnerOptic Technology develops 3D navigation and guidance software for use in minimally invasive image-guided surgical procedures.,"incorporated NC, annual report NC 3/7/2017","Annual report 2/22/19. Jen Lai 9/12/19. Annual report 1/23/21 - JL. The website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-10-22, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 2/21/23, website active (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 2/21/23, website active 4/22/24- John.",,,,
Innocrin Pharmaceuticals Holdings LLC,,http://innocrinpharma.com/,LLC - Limited Liability,7/11/2014,Thomas Laundon,Holden Thorp,,,4505 Emperor Blvd Suite 300,Durham,North Carolina,27703-8457,Durham,,(919) 467-8539,"Innocrin is a precision therapeutics company, developing inhibitors for cancer treatment. Their developments have high commercial potential to treat non-oncologic syndromes as well.",,"Website no longer active. Annual report 3/23/18. JL 7/12/19. Website not active second year and company is ""revoked"" on 2/4/20. (JL 6/22/20).","Liquidation, close down",2/4/2020,,
Innocrin Pharmaceuticals LLC,,http://innocrinpharma.com,LLC - Limited Liability,12/20/2004,Thomas Laundon,Holden Thorp,,,4220 Apex Highway 55,Durham,North Carolina,27713,Durham,,(919) 237-9536,"Our lead molecule, seviteronel (formerly INO-464), a selective CYP17 lyase and AR inhibitor, and multiple classes of chemically-distinct CYP17 lyase inhibitors are covered by composition of matter and use patents through at least 2031. This intellectual property is wholly owned by Innocrin, with no financial obligations due to third parties. Dual mechanism selective CYP17 lyase and androgen receptor (AR) inhibitors have high commercial potential for the treatment of breast cancer and CRPC as well as other cancers that utilize sex steroids as growth factors (e.g., ovarian, bladder, hepatocellular, and lung). CYP17 lyase and AR inhibitors also have potential for the treatment of non-oncologic syndromes that are due to excessive androgen production such as endometriosis, polycystic ovary syndrome, congenital adrenal hyperplasia, and precocious puberty.","separate corporation: Innocrin Pharmaceuticals Holdings LLC (NC paperwork dated 7/11/2014, but not used for SEC Form D paperwork as of 4/24/2015); see attachment for more info; incorporated/formed in Delaware 12/20/2004 spin-out of UNC Technology Startup Viamet Pharmaceuticals; see http://innocrinpharma.com/wp-content/uploads/2014/09/InncorinPR_2014_10_22.pdf; separate corporation: Innocrin Pharmaceuticals Holdings LLC (NC paperwork dated 7/11/2014, but not used for SEC Form D paperwork as of 4/24/2015); see attachment for more info; incorporated/formed in Delaware 12/20/2004","Website no longer active. Annual report 3/7/19 and status is still Active on NC Sec State. JL 7/12/19. Website not active second year, but still active on NC Sec of State. JL 6/22/20. Company not active 2/4/20, website inactive 3rd year in row, no records in any database. Will mark ""inactive"" in our database.- JL 7/28/21.","Liquidation, close down",5/26/2021,,
Innovation Research & Training Inc,,http://www.irtinc.us/,C Corporation,4/5/1999,Janis Kupersmidt,,,,5316 Highgate Drive,Durham,North Carolina,27713,Durham,info@irtinc.us,(919) 493-7700,"""iRT is a behavioral sciences research company that conducts translational scientific studies; training, technical assistance, & evaluation projects; & dissemination of products and services designed to improve the health & well-being of youth, families, organizations, & communities."" (Website, 4/18/2016)","incorporated NC, annual report NC 4/12/2016 Company LinkedIn: https://www.linkedin.com/company/innovation-research-&-training - not tracking individual grant funding opps as included in revenue reporting at this time, don't want to double count (7/13/2021)","Annual report 3/20/19. JL 6/12/19. Annual report 4/30/20. (JL 6/22/20). AR 7/26/21- JL. The website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-30-22, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 3/28/2023, website active (Juliana, 5/24/23) NC SoS status ""Current- Active"", AR filed 3/28/23, website active 4/22/24- John.",,,,
"Innovative Reproductive Solutions, Inc.",,,,3/26/2013,Steven Young,Bruce Lessey,Steven Young,,180 Lincoln Street Floor 4,Boston,Massachusetts,02111,,,(617) 956-9919,,"License Effective Date: 12/10/2014; license terminated per OTC/Carmen Per Cindy: Innovative Reproductive Solutions Inc ? 180 Lincoln Street, Suite #4, Boston, MA, 02111 CiceroDx, Inc. Exclusive. Diagnostics field. Greenville Health System & Innovative Reproductive Solutions, Inc. UNC lead. BCL-6 expression in eutopic endometrium is a possible diagnostic marker for endometriosis License FY15, 12/10/2014, terminated 01/19/2016 Lead Discloser: Steven Young MD, PhD, UNC School of Medicine, UNC Reproductive Endocrinology Clinical (and Bruce Lessey, MD ? Greenville Health System) Incorporated in MA, dissolved on file date 5/13/2021 (Tiffany, 7-25-24)",,"Liquidation, close down",5/13/2021,,
Inspire Pharmaceuticals,,,C Corporation,10/28/1993,Richard Boucher,Christy Shaffer,Richard Boucher,,8081 Arco Corporate Dr,Raleigh,North Carolina,27617,Wake,,(919) 941-9777,"Inspire Pharmaceuticals focused on researching, developing, and commercializing prescription pharmaceutical products for ophthalmic and pulmonary diseases. Inspire Pharmaceuticals was acquired by Merck & Co. in 2011.","Acquired by Merck Sharpe & Dohme in 2011 for $430 million; Marck sold company to Oak Pharmaceuticals for $52.80 on November 15, 2013. Incorporated DE",,IPO,8/8/2000,Acquisition,5/16/2011
Institute for Defense and Business,,https://www.idb.org/,501c,2/1/2000,James L Hodge,,William Thomas Powell Jr,,1250 Environ Way,Chapel Hill,North Carolina,27517-4426,Orange,,(919) 969-8008,"""A nonprofit education and research institute, we believe that effective professional education does more than teach new things. It inspires the type of leadership organizations need to achieve long-term, sustainable success. ""... We deliver professional education programs and research projects to clients across many different types of organizations including: Private Industry, Government Agencies, Military, Non-Governmental Organizations, and International Organizations.""",EIN 56-2068603. 501(c)(3) rulling date 2/2000; started 1997,"The website is active, IRS website lists most recent Form 990 filed for Tax Year 2019, 7-3-22 - Tiffany. Current - active on NC site, 501c, last tax form filed with IRS from 2019, website active (Juliana, 5/24/23) EIN: 56-2068603, NC SoS ""Current- Active"", form 990 filed 2021, active website 4/22/24- John.",,,,
Institute for Effective Change,,http://www.4effectivechange.org,501c,8/20/2019,Raymond Theodore Palma,Adejuwon O Ojebuobh,,,327 Royal Bluff Rd,Jacksonville,North Carolina,28540,Onslow,,(877) 829-5500,"We developed an online database of policy, research, and advocacy guidelines in an easy to read format. We enable teenagers to have a tangible impact through our networks and resources.","EIN: 83-1097157 The website is still not active, NC Sec State website status is ""Current - Active"", 7-3-22 - Tiffany. Current-Active on NC site, revoked on IRS site with revocation date 1/15/23, website inactive (Juliana 6/9/23) EIN: 83-1097157, ""Current- Active"" on NC SoS website, Revoked on IRS website, website not active, no further info found (4/23/24- John).",Website not active.7/29/21-JL.,"Liquidation, close down",1/15/2023,,
Integrated Lab Systems,"Integrated Lab Systems; Integrated Laboratory Systems, LLC",https://www.inotivco.com/ils,C Corporation,2/1/1985,Nicole Schwerbrock,,,,"8520 Allison Pointe Blvd, Ste. 400",Indianapolis,Illinois,46250,,,(919) 281-1110,"""Integrated Laboratory Systems, LLC is a contract research organization providing research and testing services to the pharmaceutical, chemical, agrochemical, food additive, and consumer product industries as well as to the Federal government. ILS conducts investigative toxicology, genetic toxicology, computational toxicology, histology, pathology, molecular biology, and information science services tailored to meet our clients' needs. ILS uses a flexible and comprehensive service model to provide a full suite of scientific services compliant with national and international regulatory requirements to ensure the highest quality products. Further information about ILS can be found here: www.ils-inc.com."" (press release about acquisition, 1/10/2022)","Converted to LLC on 5/21/2020. NC Secretary of State website status is ""Current-Active;"" Amended NC Annual Report Filed on 2/15/23; Active website - Tiffany (1/22/2024)",,Acquisition,1/10/2022,,
Intelligent Lighting Solutions LLC,,,LLC - Limited Liability,5/24/2013,Sam Pranikoff,,,,173 1/2 E Franklin St,Chapel Hill,North Carolina,27514,Orange,,(336) 480-8179,"Intelligent Lighting Solutions offers a wide range of turnkey LED retrofit lighting solutions, as well as other services such as consulting, light audits, and innovative financing mechanisms to customers from small businesses to large corporations.",incorporated NC; ADM dissolution 2/2/2017 NC,,"Liquidation, close down",2/2/2017,,
International Friends Foundation Inc,,iffscholarships.org,501c,1/15/2011,Amy Dingler,,,,P.O. BOX 142225,Fayetteville,Georgia,30214,,,(678) 500-9264,"The International Friends Foundation, Inc. is dedicated to exposing today's youth to cultures all around the world, and funds scholarships awarded to high school students wishing to travel abroad.","confirmed non-profit status via GuideStar; may be defunct after 2013 (Cindy, 5/11/2017) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Website is not active. No form 990. JL 6/12/19. Website is not active, no updated 2019 Form 990. Non-profit found registered in Georgia and has been dissolved 8/26/19. Will deactivate- Jen Lai 6/22/20.","Liquidation, close down",8/26/2019,,
IntraHealth International,Intrah; Program for International Training in Health,http://www.intrahealth.org/,501c,3/25/2003,Pape Amadou Gaye,Rebecca Kohler,,,6340 Quadrangle Dr Ste 200,Chapel Hill,North Carolina,27517,Orange,intrahealth@intrahealth.org,(919) 313-9100,"IntraHealth International is a global business that improves health care services in developing countries by strengthening the health care workforce and the systems supporting it. It also supports family planning and reproductive health; efforts to improve maternal, newborn, and child health; and the prevention and treatment of HIV/AIDS, tuberculosis, and malaria. Based in Chapel Hill, NC, IntraHealth operates active field programs in more than 20 countries.","Incorporated as non-profit in 2003. Founded 1979 as Intrah program in SOM. Intrahealth is a 501c, so not counting/tracking individual grants and funding awards - that would double-count their annual revenue. Just tracking their revenue via annual report and/or Form 990 (Cindy, 6/18/2018)","The website is active, NC Sec State website status is ""Current - Active"".EIN: 55-0825466, IRS website lists most recent Form 990 filed for Tax Year 2020, 7-3-22 - Tiffany. Current - active on NC site, last IRS tax report filed in 2020, website active (Juliana, 5/24/23) EIN: 55-0825466, ""Current- Active"" on NC SoS website, Form 990 filed 2022, website active (4/23/24- John).",,,,
InvestSTR Real Estate LLC,InvestSTR,https://investstr.com/,LLC - Limited Liability,7/15/2021,Jeremy Werden,,,,101 Deerfield Trl,Chapel Hill,North Carolina,27516,Orange,,,"InvestSTR (pronounced ""investor"") was founded by a team of superhosts such as Jeremy Werden who have firsthand experienced short-term rentals be both lucrative and enjoyable investments. What's not fun about owning vacation properties you can enjoy with your family and friends and also earn a profit from each month? We want to take the knowledge and know-how we have ammased and empower a new generation of vacation home ownership and investment.",,"NC registration and website active (Patrick, 2/28/23) Current - Active on NC Site, NC Annual Report Filed 4/17/2023, website active (Juliana, 6/9/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report Filed - 3-30-24, active website, 4-23-24 - John.",,,,
Investstr Saint George LLC,BoatSTR,https://www.boatstr.com/,LLC - Limited Liability,4/20/2021,Jeremy Werden,,,,101 Deerfield Trl,Chapel Hill,North Carolina,27516,Orange,,703-507-0706,"A small startup running out of Chapel Hill, NC primarily. Mainly a pontoon boat and vacation rental platform that operates out of Hyco and Jordan lake. Similar to air bnb in terms of features and simplicity",,"appears to be registered as Investstr Saint George LLC (Patrick, 2/17/2023) Website is not working, active on NC SOS website, AR 4/18/23 (Tiffany, 7/20/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report Filed - 3-30-24, website not active, 4-23-24 - John.",,,,
Invitrox Inc,"Previous legal name: Aidia Investment Group, Inc.",http://www.invitrox.com/,,6/27/2007,Lisa Grimes,Don Gabriel,Don Gabriel,,76 TW Alexander Dr,Research Triangle Park,North Carolina,27709,Durham,info@invitrox.com,(919) 381-5607,Invitrox develops specialty disease diagnostics and therapeutics detect early signs of cellular damage.,"incorporated DE, NC; DE record not found 5/12/2017; annual report NC 8/1/2016 (Cindy, 5/12/2017) License terminated, per Jackie Quay, 1/4/2017 Mailing Address: Invitrox, Inc. P.O. Box 13319 Durham, NC 27709",Annual report 4/14/19. JL 6/12/19. Annual report (4/6/20 JL),"Liquidation, close down",5/3/2018,,
IO21,,https://io21.me/,,7/1/2020,Hailey Yoon,,,,"Mazaya Business Avenue BB1,",Dubai,,,,info@io21.me,+971(04)-454-0970,"""IO21 is a cutting-edge technology company that is dedicated to developing innovative software; aimed at meeting the needs of various projects and helping companies achieve business growth. ""Launched in Dubai in July 2020, IO21 offers tech solutions and services that include software development, mobile app development, website development, e-commerce development, technology consulting, and on-site and remote operation support."" (press release 07/14/2020)","Founder Han Bit (Hailey) Yoon - graduated UNC Computer Science 2018, also Research Assistant 2017-2018 UNC Comptuer Science & Neuroscience in UNC School of Medicine Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","The website is active, the company is still active according to co-founder's linkedIn, 7-3-22-Tiffany Website active, CEO's linkedin suggests company is still active (Juliana, 6/9/23) Website inactive, statement on founder's linkedin says that she has stepped down as CTO because IO21 has been acquired by a company called Eurotech Me (John 4/23/24).",Acquisition,12/5/2023,,
IotaComm,"Iota Communications, Inc., Iota Commercial Solutions LLC, Solbright Energy Solutions, LLC",https://www.iotacommunications.com/,LLC - Limited Liability,9/26/2017,Francesco Mowrey,Terrence DeFranco,,,"136 E Rosemary St., Suite 100",Chapel Hill,North Carolina,27514,Orange,sales@iotacommunications.com,855-743-6478,"IotaComm is a wireless communications and IoT analytics platform company that is seeking to leverage our nationwide FCC licensed spectrum asset to provide IoT applications that enable health, safety and sustainability for commercial and industrial customers.","Registered in NC as Iota Commercial Solutions LLC Revoked on NC site, destruction filing 3/17/23, website still active (Juliana 5/24/23) Revoked on NC SoS website, website active (John 4/23/24). Phone/address updated. Registered DE as IOTA COMMERCIAL SOLUTIONS, LLC on 10/11/2013 (Cindy, 9/26/2024)","NC registration and website active (Patrick, 2/28/23)",,,,
Ipas,,http://www.ipas.org/,501c,10/5/1973,Elizabeth S Maguire,,,,PO Box 9990,Chapel Hill,North Carolina,27515,Orange,contactus@ipas.org,(919) 967-7052,"Ipas is a business dedicated to ending preventable deaths and disabilities from unsafe pregnancy termination. It works through local, national, and global partnerships to ensure that women around the world are able to obtain safe and comprehensive reproductive care including counseling and contraception.","non-profit; EIN 56-1071085 Regarding IPAS, I haven?t been able to determine who the founder was but according to https://www.intrahealth.org/vital/north-carolinian-honors-world-contraception-day, it was spun out of the Carolina Population Center in 1973. ""... On the year of my birth, University of North Carolina (UNC) established the Carolina Population Center (CPC) to address the ?population crisis.? With initial funding from the Ford Foundation, The Rockefeller Foundation, and the United States Agency for International Development, UNC launched the CPC in 1965. It quickly became a preeminent, interdisciplinary center that introduced family planning programs and methods in North Carolina and in countries around the world. This early work put North Carolina on the global contraceptive map?and served as the early incubator for several non-profit organizations based in the Research Triangle in North Carolina such as FHI 360, which spun off from UNC in 1971; Ipas, which spun off in 1973;and IntraHealth, which spun off most recently in 2003. UNC CPC continues to be a top leader in the field, advancing population and reproductive health issues through interdisciplinary research, policy analysis, and academic training?and a source of innovation, scholarship, and collaboration for IntraHealth and others who work in North Carolina and beyond.""","The website is active, NC Sec State website status is ""Current - Active"". IRS website lists most recent Form 990 filed for Tax Year 2020, 7-3-22 - Tiffany. Current - active on NC site, last IRS tax report filed in 2020, website active (Juliana, 5/24/23) EIN: 56-1071085, NC SoS is ""Current- Active"", Form 990 filed 2022, website is active (John 4/23/24).",,,,
IQVIA Holdings Inc,QuintilesIMS; Quintiles IMS Holdings Inc,https://www.iqvia.com/,C Corporation,10/3/2016,,,Dennis Gillings,,2400 Ellis Rd.,Durham,North Carolina,27703,Durham,,(919) 998-2979,,Changed name from QuintilesIMS to IQVIA on 11/6/2017,"The website is active, NC Sec State website status is ""Current - Active"", NC AR - 5-17-22, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 2/19/23, website active (Juliana, 5/24/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report Filed - 4-4-24, active website, 4-23-24 - John.",,,,
Irex Pharma LLC,,,LLC - Limited Liability,2/27/2017,Emily Hull-Ryde,Carla Ribeiro,Carla Ribeiro,,523 Edwards Ridge Road,Chapel Hill,North Carolina,27517,Orange,,(919) 616-2128,"Irex Pharma, LLC is creating ?first in class? therapeutics to treat the mucus overproduction that kills patients who suffer from cystic fibrosis and other respiratory diseases. Founded by Carla Ribeiro, Associate Professor of Medicine, Joint Associate Professor of Cell Biology and Physiology at UNC-CH, and Emily Hull-Ryde, previously served as Principal Scientist and Group Leader in the Center for Integrative Chemical Biology and Drug Discovery (CICBDD) at UNC-CH and now devotes her time to Irex. Irex is working towards therapeutics that will change patients? outcomes and lives.","incorporated DE and NC Categorized as UNC Technology by OTC/Carment, 7/22/2024, given NEO program participation; noted by NEO as note UNC IP; NEO 2/27/2017 Dr. Ribeiro - UNC Marsico Lung Institute, SOM description written by Tim Martin, 2/6/2018 also incorporated NC 4/13/2018 Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","4/2/2019 NC annual report. JL 6/12/19. Annual report 3/2/20. JL 6/22/20. Annual Report 3/16/21- JL. No website found, NC Sec State website status is ""Current - Active"", NC AR - 3-28-22, 7-3-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 2/23/23, website active (Juliana, 5/24/23) NC Secretary of State website status is ""Current-Active"", no website found, NC Annual Report Filed - 4-3-24 - (John 4/23/24).",,,,
Iris Biomed LLC,Iris Biomedical,http://irisbiomed.com/,LLC - Limited Liability,5/7/2015,David S. Lawrence,,David S. Lawrence,,91 Wood Creek Ct,Chapel Hill,North Carolina,27516,Orange,,(919) 903-8264,"""IRIS BioMed has developed a wavelength-encodable technology that delivers therapeutic agents to diseased sites with exquisite spatial and temporal precision, providing the opportunity to deliver drugs in a highly choreographed fashion. Potential applications span a wide variety of disorders, including cancer, auto-immune diseases, and vascular disorders."" (https://unceii.org/entrepreneurs/startups/, 1/30/2019)","NEO company, per Jason; incorporated DE. Categorized as UNC Technology by OTC/Carment, 7/22/2024, given NEO program participation; NEO 5/7/2015 Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.",Website no longer active. Jen Lai 6/12/19,"Liquidation, close down",12/1/2018,,
"IRI-Sys (International Regulatory Information Systems, Inc.)","International Regulatory Information Systems, Inc",www.IRI-Sys.com,,4/10/2023,Florian Zajic,,,,125 Townsend Dr,Clayton,North Carolina,27527,Johnston,office@iri-sys.com,,"Navigating the chaos of global cosmetics regulations is a challenge for many personal care brands, consultants, and contract manufacturers alike. The ever-changing standards across countries can hinder innovation, delay product launches and complicate market entry (especially for small brands). Enter IRI-Sys. Our flagship product, the IRI-Index, is a comprehensive database that cross-references over 30,000 ingredients with regulations from more than 70 countries and several retailer clean lists. But we didn't stop there. Our Formula Management Tool, powered by AI, not only recommends safer, compliant alternatives but also ensures that your formulations meet the strictest of standards. This means less guesswork and more innovation for cosmetics manufacturers. Our solutions are designed with both the environment and consumer safety in mind, offering a clear path through the regulatory ?wild west?. IRI-Sys is more than a tool; it's a game-changer for the cosmetics industry, making compliance and innovation seamless and straightforward. IRI-Sys is a revolutionary software solution in the beauty industry, offering the groundbreaking International Regulatory Ingredient Database (IRI-Index). This unique platform consolidates essential information on cosmetic ingredients, cross-referencing them with regulations from 70+ countries, including the US FDA, EU, China, and more. The database also incorporates 6 U.S. retailer clean lists and offers a Formula Management System. Some features include an AI-powered recommendation tool, suggesting alternative ingredients and providing quick descriptions, auto-generation of 5 different types of reports that are ready for submission to governmental or regulatory bodies, as well as many other innovative tools. This enables companies to streamline regulatory compliance, foster innovation, and accelerate product development in the dynamic beauty and personal care sector.","Incorporated DE file no. 7395080, website active and address added (John 6/4/24).",,,,,
